en,fr,de,vi
"""C"" hook",crochet à oeil,Oesenhaken,
"""fly"" milling",fraisage avec fraise à planer,Breitschlichtfräsen,
"""force versus deflection"" curve","courbe ""force-déformation""",Kraft/Verformungskurve,
"""freeze frame"" engine conditions present at the time",instantané de l'état du moteur à cet instant,zu diesem Zeitpunkt herrschende Motorbetriebsbedingungen,
"""hit-or-miss"" selector valve",sélecteur tout-ou-rien,"""schwarz-weiß"" Schalter",
"""in use"" indication",signal d'occupation,Besetztanzeiger,
"""on-off"" order",ordre tout-ou-rien,"""ja-oder-nein"" Befehl",
(bearing)axle-box lubricated as required,boîte(d'essieu à coussinets)à graissage suivant nécessité,Achslager oder Gleitachslager für Bedarfsschmierung,
(safety control)foot valve,robinet à pédale de vigilance,Absperrhahn der Sifa-Fußtaste,
(thermodynamic)system,système(thermodynamique),(thermodynamisches)System,
0bushed bearing,coussinet,ausgebuchstes Lager,
2-Hydroxyethyl acrylate,acrylate de 2-hydroxy-éthyle,2-Hydroxy-ethyl-acrylat,
2:1 suspension,suspension mouflée rapport 2:1,Flaschenaufhaengung,
2:pillar hydrant wrench,clé pour borne d'incendie,ueberflurhydrantenschluessel,
20 to 40-feet container,conteneur de 20-40 pieds,Container von 20 bis 40 Fuss,
75 deg.offest adjusting pliers,pince plate à long bec coudée,75 gr.justierzange gewinkelt,
a counter circuit provides the requisite information for the desired control,un circuit de comptage fournit les informations nécessaires à la régulation,eine Zaehlschaltung liefert die fuer die Steuerung noetigen Informationen,
a dosing pump mounted on the booster,pompe doseuse montée sur le surpresseur,auf die Druckpumpe aufgesetzte Dosierpumpe,
a fourth-freedom traffic right,droit de trafic de quatrième liberté,Verkehrsrecht der vierten Freiheit,
a laminated heat exchanger for ice cream mix,échangeur de chaleur à lamelles pour les glaces et les crèmes glacées,Lamellenwaermeaustausche/ fuer Speiseeismasse,
a pendulum-operated distributor system,commande par distributeur à pendule,Steuerung durch Pendelregler,
a pneumatic-hydraulic transducer directly controlled by the logic system,transducteur pneumatique-hydraulique pouvant être commandé directement par la logique,von der Logik direkt anzusteuernder pneumatisch-hydraulischer Wandler,
a swinging support attached at one end to the spring eye,menotte de suspension,Federlasche,
a third-freedom traffic right,droit de trafic de troisième liberté,Verkehrsrecht der dritten Freiheit,
Aberdeen pump,pompe immergée,Aberdeen-Pumpe,
ablation,ablation,Abschmelzung,
ablative liner,chemise ablative,Auskleidung,
aborted start,démarrage interrompu,Fehlstart,
about the axis,autour de l'axe,um die Achse,
above-ground feeler,tâteur aérien,oberirdischer Taster,
abradable seal,joint d'usure,Abriebdichtung,
abrasive additive,additif abrasif,abrasiver Zusatz,
