en,fr,de,vi
"""fuel-miser"" vehicle",voiture sobre,Energiespar-Auto,
"""inevitable"" energy",énergie fatale,zwangslaeufig anfallende Energie,
"""parafil"" cable",câble parafil,Parafilseil,
(111)orientation etch,solution d'attaque révèlant l'orientation(111),(11-Orientierungsätzung,
(electrode)regulator,régulateur,Regler,
(propulsion-power)cut-off speed,vitesse de coupure(du courant de traction),Abschaltgeschwindigkeit,
1/f noise,bruit en 1/f,1/f-Rauschen,
12-month running mean sunspot number,moyenne glissante sur 12 mois du nombre des taches solaires,gleitender zwölfmonatiger Durchschnittswert der Zahl der Sonnenflecken,
1242 code,code 1242,1-2-4-2-Code,
1242 code error checker,détecteur d'erreur pour code 1242,Fehlerkontrolle für den 1-2-4-2-Code,
1AESS,système 1AESS,1AESS,
2-channel volume control,contrôle de l'intensité sonore à deux canaux,Steuern von Zwei-Kanal-Volumen,
2-phase voltage source,source de tension biphasée,Zweiphasen-Spannungs-Quelle,
2-terminal circuit,dipôle,Zweipol,
2-terminal circuit element,bipôle élémentaire,elementarer Zweipol,
3-phase voltage source,source triphasée,Dreiphasen-Spannungs-Quelle,
30 channel mux,multiplexeur 30 canaux,PCM-30-Grundsystem,
4-phase voltage source,source tétraphasée,Vierphasen-Spannungs-Quelle,
50% disruptive discharge voltage,tension de 50 pour-cent de décharge disruptive,50 Prozent Durchschlagspannung,
A,ampère,A,
A and B leads,fils A et B,a/b-Leitung,
A and B signalling,signalisation A et B,AB-Signalisierung,
a centralised installation of welding machines or transformers,centrale de soudage,zentrale Schweissmaschinenanlage,
A law/Mu law transcoding,transcodage loi A/loi Mu,"Transcodierung von Gesetz ""A"" nach Gesetz ""My""",
A position,position mixte d'inscription et de départ,Abgangsplatz,
a single-wire system is characterized by an intense radiation of energy,le système monofilaire se caractérise par une intense radiation d'énergie,das Einleitersystem ist durch eine intensive Energieausstrahlung gekennzeichnet,
a solid electrode holder on the tubular body of an electrode holder,corps d'électrode,Elektrodenhalter ohne Kuehleinrichtung,
"a source of electrical power in which the energy liberated in radioactive decay is collected as heat and converted,usually directly by thermocouple action,into electricity",générateur thermoélectrique à radio-isotopes,thermoelektrischer Radioisotopengenerator,
a specified period comprising a time during which an arc runs continuously plus an off time,durée du cycle conventionnel de soudage,Spieldauer,
A station,station A de radionavigation loran,Loranstation A,
A-bus,bus-A,A-Bus,
a-c load,charge en alternatif,Wechselstromverbraucher,
a-c load line,droite de charge en alternatif,Wechselstrombelastungskennlinie,
a-c noise,bruit en alternatif,Wechselstromrauschen,
A-law,loi A,A-Gesetz,
A-scope presentation,présentation A,A-Bild,
a-stable multivibrator,multivibrateur astable,astabiler Multivibrator,
a-stable multivibrator,multivibrateur astable,astabiler Multivibrator,
a.c.conversion factor,facteur de conversion en courant alternatif,Wechselstrom-Umrichtgrad,
a.c.spark-over voltage of a protector,tension alternative d'amorçage d'un parafoudre,Wechselstrom-Überschlagsspannung einer Schutzeinrichtung,
a/c system,génération de bord,Bordstromerzeugung,
abandoned well,puits abandonné,eingestellte Bohrung,
abandonment pressure,pression d'abandon,"Druck,bei dem eine Bohrung aufgegeben wird",
